product,hf_pk,standardD
7,10238,114.287087903833
5,10179,79.9022500635457
6,316,4.39841045069166
2,366,2.40991541504931
5,385,37.9020329608334
6,314,4.96029990659826
0,389,152.783070615388
1,349,6.04671568397015
7,233,156.075641633568
5,731,47.3467571753311
5,202,82.5726952448568
5,737,90.8207589508602
7,237,124.803846094582
6,908,10.5162444745956
5,738,35.2361544452084
3,228,1.38873014965883
6,331,3.46265793863616
3,423,5.16608224838721
5,971,68.9091898753378
3,365,2.26568606239552
3,422,8.41740052385221
7,235,110.340177225455
5,967,57.7384331850689
2,191,8.71538265005284
5,968,62.0748289690305
7,428,35.557835758022
5,963,28.5810683907326
0,419,361.847113202984
7,831,82.8914953418021
5,380,33.8390273512666
2,371,15.5189592189069
5,381,50.5802905238165
6,10270,3.09868550386319
5,729,36.0093392694157
0,977,251.433570908322
3,302,4.66502947471932
5,379,43.8643012377597
0,325,248.821542475727
5,964,60.8801723438377
7,231,148.719309341506
0,10034,294.515076752927
1,351,3.51391790564593
7,658,138.38753958038
6,332,2.45029962534549
5,970,87.178387373656
5,736,57.6589727870445
2,311,12.854789536787
5,397,86.1961359119645
5,398,99.8544273763896
6,414,8.86472409798147
7,926,82.5124249101326
6,575,3.45832329315812
7,927,82.3578701950748
7,699,141.563295619545
4,348,3.4045954005241
2,10193,20.2350473895453
6,323,4.39585366132276
0,350,436.55116891027
7,929,48.5102954894413
6,756,3.69426840492391
7,930,75.2690412548783
6,997,3.44770931306413
0,939,237.981878958554
4,342,0
2,10257,6.97866422648095
7,925,78.7852937236545
1,419,11.1885577055048
7,701,51.2396587769566
4,347,1.08657496809485
3,311,2.51777308082951
2,210,10.1933685258977
6,321,2.83995765410757
2,404,20.3336185652245
4,345,1.00291971424256
6,222,4.72581562625261
2,402,24.3142619327286
1,10186,8.73649333482683
7,362,68.7995934433556
2,401,17.9632340567554
4,170,2.70000801666278
3,145,4.87024622022481
6,412,5.83328157326933
7,928,67.984712857127
2,400,11.9599722270796
6,10194,8.71501961854171
1,420,10.0512970023063
4,10368,2.04257226292618
7,187,61.8182820854802
7,923,85.9881079576992
0,432,516.788504575652
4,178,9.45093971189683
6,228,1.22537278472245
7,694,114.795214083474
7,357,62.9578161127482
0,706,319.914050957441
6,422,4.23202079389977
4,918,2.38241250165945
2,998,9.62475296125658
